Property,Count,Types,Example
configurations.missionCycles.99,1666,list,['99']
configurations.missionCycles.200,920,list,['200']
configurations.missionCycles.201,911,list,['201']
configurations.missionCycles.202,908,list,['202']
configurations.missionCycles.203,903,list,['203']
configurations.missionCycles.204,895,list,['204']
configurations.missionCycles.205,890,list,['205']
configurations.missionCycles.206,887,list,['206']
configurations.missionCycles.207,882,list,['207']
configurations.missionCycles.208,877,list,['208']
configurations.missionCycles.209,873,list,['209']
configurations.missionCycles.210,869,list,['210']
configurations.missionCycles.211,867,list,['211']
configurations.missionCycles.212,860,list,['212']
configurations.missionCycles.213,857,list,['213']
configurations.missionCycles.214,843,list,['214']
configurations.missionCycles.215,835,list,['215']
configurations.missionCycles.216,828,list,['216']
configurations.missionCycles.217,819,list,['217']
configurations.missionCycles.218,808,list,['218']
configurations.missionCycles.219,806,list,['219']
configurations.missionCycles.220,802,list,['220']
configurations.missionCycles.100,1662,list,['100']
configurations.missionCycles.221,790,list,['221']
configurations.missionCycles.101,1655,list,['101']
configurations.missionCycles.222,772,list,['222']
configurations.missionCycles.102,1650,list,['102']
configurations.missionCycles.223,765,list,['223']
configurations.missionCycles.103,1642,list,['103']
configurations.missionCycles.224,752,list,['224']
configurations.missionCycles.104,1631,list,['104']
configurations.missionCycles.225,735,list,['225']
configurations.missionCycles.105,1636,list,['105']
configurations.missionCycles.226,729,list,['226']
configurations.missionCycles.106,1626,list,['106']
configurations.missionCycles.227,719,list,['227']
configurations.missionCycles.107,1623,list,['107']
configurations.missionCycles.228,708,list,['228']
configurations.missionCycles.108,1629,list,['108']
configurations.missionCycles.229,702,list,['229']
configurations.missionCycles.109,1619,list,['109']
configurations.missionCycles.153,1300,list,['153']
configurations.missionCycles.285,229,list,['285']
configurations.missionCycles.286,222,list,['286']
configurations.missionCycles.287,217,list,['287']
configurations.missionCycles.288,208,list,['288']
configurations.missionCycles.289,201,list,['289']
configurations.missionCycles.293,181,list,['293']
configurations.missionCycles.294,182,list,['294']
configurations.missionCycles.296,171,list,['296']
configurations.missionCycles.297,170,list,['297']
configurations.missionCycles.298,169,list,['298']
configurations.missionCycles.299,166,list,['299']
configurations.missionCycles.300,165,list,['300']
configurations.missionCycles.301,159,list,['301']
configurations.missionCycles.302,157,list,['302']
configurations.missionCycles.303,149,list,['303']
configurations.missionCycles.304,144,list,['304']
configurations.missionCycles.306,138,list,['306']
configurations.missionCycles.307,133,list,['307']
configurations.missionCycles.308,131,list,['308']
configurations.missionCycles.309,124,list,['309']
configurations.missionCycles.310,122,list,['310']
configurations.missionCycles.311,116,list,['311']
configurations.missionCycles.312,112,list,['312']
configurations.missionCycles.313,112,list,['313']
configurations.missionCycles.314,110,list,['314']
configurations.missionCycles.315,105,list,['315']
configurations.missionCycles.350,40,list,['350']
configurations.missionCycles.351,39,list,['351']
configurations.missionCycles.352,41,list,['352']
configurations.missionCycles.353,42,list,['353']
configurations.missionCycles.354,41,list,['354']
configurations.missionCycles.355,39,list,['355']
configurations.missionCycles.356,38,list,['356']
configurations.missionCycles.357,39,list,['357']
configurations.missionCycles.358,39,list,['358']
configurations.missionCycles.359,39,list,['359']
configurations.missionCycles.360,37,list,['360']
configurations.missionCycles.361,34,list,['361']
configurations.missionCycles.362,33,list,['362']
configurations.missionCycles.363,33,list,['363']
configurations.missionCycles.364,33,list,['364']
configurations.missionCycles.365,34,list,['365']
configurations.missionCycles.366,34,list,['366']
configurations.missionCycles.367,33,list,['367']
configurations.missionCycles.368,32,list,['368']
configurations.missionCycles.369,33,list,['369']
configurations.missionCycles.291,193,list,['291']
configurations.missionCycles.295,177,list,['295']
