DatasetID,Variable Name,Data Type,Value
OS_ESTOC_2016_D_buoy-ocean-1,time,['double'],"['nValues=233, evenlySpaced=true, averageSpacing=59m 45s']"
OS_ESTOC_2016_D_buoy-ocean-2,depth,['float'],"['nValues=1, onlyValue=-1.0']"
OS_ESTOC_2016_D_buoy-ocean-2,time,['double'],"['nValues=1322, evenlySpaced=true, averageSpacing=1h 0m 30s']"
OS_ESTOC_2016_D_pH_FixO3-surface,depth,['float'],"['nValues=1, onlyValue=1.5']"
OS_ESTOC_2016_D_pH_FixO3-surface,time,['double'],"['nValues=226, evenlySpaced=false, averageSpacing=6h 1m 40s']"
OS_ESTOC_201704_D_ADCP_FixO3_80mUpward,depth,['float'],"['nValues=16, evenlySpaced=true, averageSpacing=5.0']"
OS_ESTOC_201704_D_ADCP_FixO3_80mUpward,time,['double'],"['nValues=3996, evenlySpaced=false, averageSpacing=1h 0m 0s']"
OS_ESTOC_201704_D_CTD-DO-FixO3-150m,depth,['float'],"['nValues=1, onlyValue=150.0']"
OS_ESTOC_201704_D_CTD-DO-FixO3-150m,time,['double'],"['nValues=15018, evenlySpaced=false, averageSpacing=15m 54s']"
OS_ESTOC_201704_D_CTD-DO-FixO3-80m,depth,['float'],"['nValues=1, onlyValue=80.0']"
OS_ESTOC_201704_D_CTD-DO-FixO3-80m,time,['double'],"['nValues=15912, evenlySpaced=false, averageSpacing=15m 0s']"
OS_ESTOC_201704_D_CTD-FixO3-1600m,depth,['float'],"['nValues=1, onlyValue=1600.0']"
OS_ESTOC_201704_D_CTD-FixO3-1600m,time,['double'],"['nValues=15581, evenlySpaced=false, averageSpacing=15m 0s']"
OS_ESTOC_201704_D_Currentmeter_FixO3-150m,depth,['float'],"['nValues=1, onlyValue=150.0']"
OS_ESTOC_201704_D_Currentmeter_FixO3-150m,time,['double'],"['nValues=7954, evenlySpaced=true, averageSpacing=30m 0s']"
OS_ESTOC_201704_D_FLNTU-FixO3-80m,depth,['float'],"['nValues=1, onlyValue=80.0']"
OS_ESTOC_201704_D_FLNTU-FixO3-80m,time,['double'],"['nValues=7966, evenlySpaced=false, averageSpacing=30m 2s']"
OS_ESTOC_201704_D_PCO2_FixO3-surface,depth,['float'],"['nValues=1, onlyValue=1.5']"
OS_ESTOC_201704_D_PCO2_FixO3-surface,time,['double'],"['nValues=663, evenlySpaced=false, averageSpacing=6h 0m 33s']"
OS_ESTOC_201704_D_pH_FixO3-surface,depth,['float'],"['nValues=1, onlyValue=1.5']"
OS_ESTOC_201704_D_pH_FixO3-surface,time,['double'],"['nValues=210, evenlySpaced=false, averageSpacing=6h 10m 20s']"
OS_ESTOC_201709_D_pCO2_FixO3-surface,depth,['float'],"['nValues=1, onlyValue=1.5']"
OS_ESTOC_201709_D_pCO2_FixO3-surface,time,['double'],"['nValues=339, evenlySpaced=false, averageSpacing=6h 34m 5s']"
OS_ESTOC_2017_D_CTD_FixO3-1-surface,depth,['float'],"['nValues=1, onlyValue=1.0']"
OS_ESTOC_2017_D_CTD_FixO3-1-surface,time,['double'],"['nValues=12239, evenlySpaced=false, averageSpacing=15m 0s']"
