DatasetID,Attribute Name,Variable Name,Data Type,Value
OceanGlidersGDACTrajectories,actual_range,DPHASE_DOXY_QC,['byte'],"['0, 0']"
OceanGlidersGDACTrajectories,actual_range,JULD,['double'],"['-6.31152E8, NaN']"
OceanGlidersGDACTrajectories,actual_range,JULD_QC,['byte'],"['0, 4']"
OceanGlidersGDACTrajectories,actual_range,MOLAR_DOXY,['float'],"['-4295002.0, 9.96921E36']"
OceanGlidersGDACTrajectories,actual_range,MOLAR_DOXY_QC,['byte'],"['0, 0']"
OceanGlidersGDACTrajectories,actual_range,MOLAR_DOXY_UNCERTAINTY,['float'],"['0.0, 0.0']"
OceanGlidersGDACTrajectories,actual_range,PHASE_NUMBER,['int'],"['0, 58178']"
OceanGlidersGDACTrajectories,actual_range,POSITIONING_METHOD,['byte'],"['0, 3']"
OceanGlidersGDACTrajectories,actual_range,POSITION_QC,['byte'],"['0, 9']"
OceanGlidersGDACTrajectories,actual_range,PRES,['float'],"['-9999.0, 1.571511E10']"
OceanGlidersGDACTrajectories,actual_range,PRES_QC,['byte'],"['0, 9']"
OceanGlidersGDACTrajectories,actual_range,PRES_UNCERTAINTY,['float'],"['0.0, 0.0']"
OceanGlidersGDACTrajectories,actual_range,PSAL,['float'],"['-218.4611, 9.483733E10']"
OceanGlidersGDACTrajectories,actual_range,PSAL_QC,['byte'],"['0, 9']"
OceanGlidersGDACTrajectories,actual_range,PSAL_UNCERTAINTY,['float'],"['0.0, 0.0']"
OceanGlidersGDACTrajectories,actual_range,RPHASE_DOXY,['float'],"['0.0, 0.0']"
OceanGlidersGDACTrajectories,actual_range,RPHASE_DOXY_QC,['byte'],"['0, 0']"
OceanGlidersGDACTrajectories,actual_range,TEMP,['float'],"['-9999.0, 1.572165E9']"
OceanGlidersGDACTrajectories,actual_range,TEMP_DOXY,['float'],"['-5.0, 9.96921E36']"
OceanGlidersGDACTrajectories,actual_range,TEMP_DOXY_QC,['byte'],"['0, 4']"
OceanGlidersGDACTrajectories,actual_range,TEMP_DOXY_UNCERTAINTY,['float'],"['0.0, 0.0']"
OceanGlidersGDACTrajectories,actual_range,TEMP_QC,['byte'],"['0, 4']"
